longitude,latitude,timestamp,distance,cadence,fractional_cadence,heart_rate,time_elapsed,elevation,key
NA,NA,2021-05-20T19:33:04Z,0,83,0,117,230,0,6813993966
NA,NA,2021-05-20T19:33:05Z,0,83,0,117,231,0,6813993966
NA,NA,2021-05-20T19:33:06Z,0,84,0,118,232,0,6813993966
NA,NA,2021-05-20T19:33:07Z,0,84,0,118,233,0,6813993966
NA,NA,2021-05-20T19:33:08Z,0,84,0,118,234,0,6813993966
NA,NA,2021-05-20T19:33:09Z,0,84,0,118,235,0,6813993966
NA,NA,2021-05-20T19:33:10Z,0,82,0,118,236,0,6813993966
NA,NA,2021-05-20T19:33:11Z,0,82,0,118,237,0,6813993966
NA,NA,2021-05-20T19:33:12Z,0,82,0,118,238,0,6813993966
NA,NA,2021-05-20T19:33:13Z,0,83,0,118,239,0,6813993966
NA,NA,2021-05-20T19:33:14Z,0,83,0,118,240,0,6813993966
NA,NA,2021-05-20T19:33:15Z,0,83,0,118,241,0,6813993966
NA,NA,2021-05-20T19:33:16Z,0,83,0,116,242,0,6813993966
NA,NA,2021-05-20T19:33:17Z,0,83,0,114,243,0,6813993966
NA,NA,2021-05-20T19:33:18Z,0,83,0,114,244,0,6813993966
NA,NA,2021-05-20T19:33:19Z,0,83,0,114,245,0,6813993966
NA,NA,2021-05-20T19:33:20Z,0,84,0,115,246,0,6813993966
NA,NA,2021-05-20T19:33:21Z,0,84,0,115,247,0,6813993966
NA,NA,2021-05-20T19:33:22Z,0,82,0,115,248,0,6813993966
NA,NA,2021-05-20T19:33:23Z,0,82,0,115,249,0,6813993966
NA,NA,2021-05-20T19:33:24Z,0,82,0,115,250,0,6813993966
NA,NA,2021-05-20T19:33:25Z,0,82,0,116,251,0,6813993966
NA,NA,2021-05-20T19:33:26Z,0,82,0,117,252,0,6813993966
NA,NA,2021-05-20T19:33:27Z,0,82,0,118,253,0,6813993966
NA,NA,2021-05-20T19:33:28Z,0,82,0,119,254,0,6813993966
NA,NA,2021-05-20T19:33:29Z,0,82,0,118,255,0,6813993966
NA,NA,2021-05-20T19:33:30Z,0,82,0,119,256,0,6813993966
NA,NA,2021-05-20T19:33:31Z,0,82,0,119,257,0,6813993966
NA,NA,2021-05-20T19:33:32Z,0,82,0,119,258,0,6813993966
NA,NA,2021-05-20T19:33:33Z,0,42,0,120,259,0,6813993966
NA,NA,2021-05-20T19:33:34Z,0,42,0,120,260,0,6813993966
NA,NA,2021-05-20T19:33:35Z,0,42,0,120,261,0,6813993966
NA,NA,2021-05-20T19:33:36Z,0,42,0,120,262,0,6813993966
