timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,time_elapsed,key
2021-08-04T13:36:28Z,44.987940955907106,-93.2191376388073,497.74,242.39999999999998,7.035,109,77,7244820897
2021-08-04T13:36:29Z,44.98794263228774,-93.21922782808542,504.85,242,6.979,109,78,7244820897
2021-08-04T13:36:30Z,44.98794414103031,-93.21931986138225,512.1,241.79999999999995,7.11,109,79,7244820897
2021-08-04T13:36:31Z,44.98794447630644,-93.21941298432648,519.44,241.39999999999998,7.166,110,80,7244820897
2021-08-04T13:36:32Z,44.98794422484934,-93.21950560435653,526.75,241,6.923,110,81,7244820897
2021-08-04T13:36:33Z,44.987942380830646,-93.21959478780627,533.78,240.60000000000002,6.839,110,82,7244820897
2021-08-04T13:36:34Z,44.98793978244066,-93.21968581527472,540.97,240.39999999999998,6.681,110,83,7244820897
2021-08-04T13:36:35Z,44.987938022240996,-93.21977265179157,547.81,240,6.625,110,84,7244820897
2021-08-04T13:36:36Z,44.98793483711779,-93.21986317634583,554.96,240.20000000000005,6.587,110,85,7244820897
2021-08-04T13:36:37Z,44.98793265782297,-93.21995294652879,562.04,240.20000000000005,6.503,110,86,7244820897
2021-08-04T13:36:38Z,44.987929137423635,-93.22004799731076,569.55,240.39999999999998,6.849,110,87,7244820897
2021-08-04T13:36:39Z,44.987926287576556,-93.22013659402728,576.54,240.20000000000005,6.905,110,88,7244820897
2021-08-04T13:36:40Z,44.987925784662366,-93.2202251907438,583.53,240,6.895,110,89,7244820897
2021-08-04T13:36:41Z,44.98792645521462,-93.22031336836517,590.48,239.79999999999995,6.839,110,90,7244820897
2021-08-04T13:36:42Z,44.98792788013816,-93.22040162980556,597.45,239.60000000000002,6.979,109,91,7244820897
2021-08-04T13:36:43Z,44.98792544938624,-93.22049232199788,604.6,239.79999999999995,7.017,109,92,7244820897
2021-08-04T13:36:44Z,44.98792167752981,-93.22057982906699,611.52,239.60000000000002,6.727,109,93,7244820897
2021-08-04T13:36:45Z,44.987912541255355,-93.22066289372742,618.14,239.60000000000002,6.541,109,94,7244820897
2021-08-04T13:36:46Z,44.98790902085602,-93.2207450363785,624.63,239.20000000000005,6.448,109,95,7244820897
2021-08-04T13:36:47Z,44.98791120015085,-93.22082860395312,631.22,239,6.606,109,96,7244820897
2021-08-04T13:36:48Z,44.987913966178894,-93.22091326117516,637.9,239,6.606,109,97,7244820897
2021-08-04T13:36:49Z,44.987913547083735,-93.22100118733943,644.84,239.20000000000005,6.466,109,98,7244820897
2021-08-04T13:36:50Z,44.98791472055018,-93.22108324617147,651.31,239.20000000000005,6.345,109,99,7244820897
2021-08-04T13:36:51Z,44.98791572637856,-93.22116413153708,657.68,239.20000000000005,6.224,109,100,7244820897
2021-08-04T13:36:52Z,44.987915474921465,-93.2212492916733,664.4,239.20000000000005,6.55,108,101,7244820897
2021-08-04T13:36:53Z,44.98791606165469,-93.22133847512305,671.43,239.20000000000005,7.045,108,102,7244820897
2021-08-04T13:36:54Z,44.98791589401662,-93.2214321848005,678.82,239,7.362,108,103,7244820897
2021-08-04T13:36:55Z,44.98791296035051,-93.2215326000005,686.74,239.39999999999998,7.213,108,104,7244820897
2021-08-04T13:36:56Z,44.9879102781415,-93.2216309197247,694.5,239.79999999999995,7.287,109,105,7244820897
2021-08-04T13:36:57Z,44.987906673923135,-93.22173024527729,702.34,240.39999999999998,7.157,109,106,7244820897
2021-08-04T13:36:58Z,44.98790399171412,-93.22182730771601,710.01,240.79999999999995,7.194,109,107,7244820897
2021-08-04T13:36:59Z,44.98790189623833,-93.2219231966883,717.57,241,7.203,109,108,7244820897
2021-08-04T13:37:00Z,44.98789804056287,-93.22201338596642,724.7,241,7.045,110,109,7244820897
2021-08-04T13:37:01Z,44.987895945087075,-93.22210340760648,731.8,240.79999999999995,7.11,110,110,7244820897
2021-08-04T13:37:02Z,44.98789242468774,-93.2221940997988,738.96,241,7.026,111,111,7244820897
2021-08-04T13:37:03Z,44.98789032921195,-93.22229283861816,746.75,241.60000000000002,6.914,111,112,7244820897
2021-08-04T13:37:04Z,44.98788706026971,-93.2223893981427,754.37,242,7.082,112,113,7244820897
2021-08-04T13:37:05Z,44.98788739554584,-93.2224874664098,762.1,242.79999999999995,7.11,114,114,7244820897
2021-08-04T13:37:06Z,44.98788831755519,-93.22258327156305,769.66,243.20000000000005,7.11,115,115,7244820897
2021-08-04T13:37:07Z,44.98789091594517,-93.22268083691597,777.36,244,7.11,117,116,7244820897
2021-08-04T13:37:08Z,44.98789225704968,-93.2227797433734,785.15,245,7.175,118,117,7244820897
2021-08-04T13:37:09Z,44.987891586497426,-93.22287747636437,792.85,245.79999999999995,7.063,118,118,7244820897
2021-08-04T13:37:10Z,44.98789167031646,-93.2229726947844,800.36,246.20000000000005,7.091,119,119,7244820897
2021-08-04T13:37:11Z,44.987890580669045,-93.22306799702346,807.87,246.60000000000002,7.045,119,120,7244820897
2021-08-04T13:37:12Z,44.98789192177355,-93.22316321544349,815.38,247,7.101,120,121,7244820897
2021-08-04T13:37:13Z,44.98789376579225,-93.22325583547354,822.68,247.20000000000005,7.073,120,122,7244820897
2021-08-04T13:37:14Z,44.987895945087075,-93.22334619238973,829.8,247.20000000000005,7.063,120,123,7244820897
2021-08-04T13:37:15Z,44.98789845965803,-93.22343830950558,837.07,247.20000000000005,7.138,120,124,7244820897
2021-08-04T13:37:16Z,44.98790021985769,-93.2235290016979,844.22,247.20000000000005,6.97,121,125,7244820897
2021-08-04T13:37:17Z,44.987901728600264,-93.22361961007118,851.37,247.20000000000005,6.97,121,126,7244820897
2021-08-04T13:37:18Z,44.98790198005736,-93.22370770387352,858.31,247.20000000000005,6.877,121,127,7244820897
2021-08-04T13:37:19Z,44.98790055513382,-93.22379177436233,864.94,247.20000000000005,6.662,121,128,7244820897
2021-08-04T13:37:20Z,44.98789896257222,-93.22387333028018,871.37,247,6.559,121,129,7244820897
2021-08-04T13:37:21Z,44.98789778910577,-93.22395429946482,877.76,247,6.727,121,130,7244820897
2021-08-04T13:37:22Z,44.987895945087075,-93.22403610683978,884.22,247,6.457,120,131,7244820897
2021-08-04T13:37:23Z,44.9878965318203,-93.22411950677633,890.79,247,6.541,120,132,7244820897
2021-08-04T13:37:24Z,44.98789720237255,-93.22420475073159,897.51,247.39999999999998,6.354,120,133,7244820897
2021-08-04T13:37:25Z,44.9878946878016,-93.22428840212524,904.12,247.39999999999998,6.448,120,134,7244820897
2021-08-04T13:37:26Z,44.98789317905903,-93.22437792085111,911.18,248,6.737,120,135,7244820897
