longitude,latitude,timestamp,distance,heart_rate,cadence,fractional_cadence,time_elapsed,elevation,key
NA,NA,2021-05-17T12:19:07Z,0,143,41,0,157,0,6794759057
NA,NA,2021-05-17T12:19:08Z,0,142,41,0,158,0,6794759057
NA,NA,2021-05-17T12:19:09Z,0,143,41,0,159,0,6794759057
NA,NA,2021-05-17T12:19:10Z,0,144,40,0,160,0,6794759057
NA,NA,2021-05-17T12:19:11Z,0,145,40,0,161,0,6794759057
NA,NA,2021-05-17T12:19:12Z,0,145,40,0,162,0,6794759057
NA,NA,2021-05-17T12:19:13Z,0,145,40,0,163,0,6794759057
NA,NA,2021-05-17T12:19:14Z,0,145,40,0,164,0,6794759057
NA,NA,2021-05-17T12:19:15Z,0,145,40,0,165,0,6794759057
NA,NA,2021-05-17T12:19:16Z,0,144,40,0,166,0,6794759057
NA,NA,2021-05-17T12:19:17Z,0,143,40,0,167,0,6794759057
NA,NA,2021-05-17T12:19:18Z,0,143,40,0,168,0,6794759057
NA,NA,2021-05-17T12:19:19Z,0,143,40,0,169,0,6794759057
NA,NA,2021-05-17T12:19:20Z,0,143,40,0,170,0,6794759057
NA,NA,2021-05-17T12:19:21Z,0,142,40,0,171,0,6794759057
NA,NA,2021-05-17T12:19:22Z,0,142,40,0,172,0,6794759057
NA,NA,2021-05-17T12:19:23Z,0,142,41,0,173,0,6794759057
NA,NA,2021-05-17T12:19:24Z,0,143,41,0,174,0,6794759057
NA,NA,2021-05-17T12:19:25Z,0,143,41,0,175,0,6794759057
NA,NA,2021-05-17T12:19:26Z,0,143,41,0,176,0,6794759057
NA,NA,2021-05-17T12:19:27Z,0,143,41,0,177,0,6794759057
NA,NA,2021-05-17T12:19:28Z,0,144,40,0,178,0,6794759057
NA,NA,2021-05-17T12:19:29Z,0,144,40,0,179,0,6794759057
NA,NA,2021-05-17T12:19:30Z,0,144,78,0,180,0,6794759057
NA,NA,2021-05-17T12:19:31Z,0,144,78,0,181,0,6794759057
NA,NA,2021-05-17T12:19:32Z,0,144,78,0,182,0,6794759057
