timestamp,distance,heart_rate,cadence,fractional_cadence,key
2018-10-02T02:39:35Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:36Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:37Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:38Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:39Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:40Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:41Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:42Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:43Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:39:44Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:45Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:39:46Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:39:47Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:39:48Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:39:49Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:39:50Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:51Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:52Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:53Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:54Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:55Z,0,137,0,0,2018-10-02 02:36:42
2018-10-02T02:39:56Z,0,137,58,0.5,2018-10-02 02:36:42
2018-10-02T02:39:57Z,0,136,58,0.5,2018-10-02 02:36:42
2018-10-02T02:39:58Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:39:59Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:40:00Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:40:01Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:40:02Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:40:03Z,0,131,0,0,2018-10-02 02:36:42
2018-10-02T02:40:04Z,0,130,0,0,2018-10-02 02:36:42
2018-10-02T02:40:05Z,0,129,0,0,2018-10-02 02:36:42
2018-10-02T02:40:06Z,0,129,0,0,2018-10-02 02:36:42
2018-10-02T02:40:07Z,0,127,0,0,2018-10-02 02:36:42
2018-10-02T02:40:08Z,0,127,0,0,2018-10-02 02:36:42
2018-10-02T02:40:09Z,0,126,0,0,2018-10-02 02:36:42
2018-10-02T02:40:10Z,0,125,0,0,2018-10-02 02:36:42
2018-10-02T02:40:11Z,0,124,0,0,2018-10-02 02:36:42
2018-10-02T02:40:12Z,0,124,0,0,2018-10-02 02:36:42
2018-10-02T02:40:13Z,0,124,0,0,2018-10-02 02:36:42
