timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2020-03-27T22:01:45Z,44.98478936031461,-93.1884805765003,230.9,290.20000000000005,3.228,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:46Z,44.98475440777838,-93.18848577328026,234.74,290.4,3.228,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:47Z,44.98472113162279,-93.18848979659379,238.42,290.6,3.238,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:48Z,44.98468651436269,-93.18849197588861,242.23,290.6,3.247,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:49Z,44.98465231619775,-93.18849532864988,246.02,290.79999999999995,3.247,85,0,115,2020-03-27 22:00:32
2020-03-27T22:01:50Z,44.984620716422796,-93.18849549628794,249.53,290.79999999999995,3.256,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:51Z,44.98459054157138,-93.18849759176373,252.87,290.79999999999995,3.266,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:52Z,44.98456078581512,-93.18849951960146,256.17,290.79999999999995,3.266,85,0,116,2020-03-27 22:00:32
2020-03-27T22:01:53Z,44.984529772773385,-93.18849884904921,259.62,290.79999999999995,3.266,84,0,115,2020-03-27 22:00:32
2020-03-27T22:01:54Z,44.98449842445552,-93.18849784322083,263.1,290.79999999999995,3.266,84,0,115,2020-03-27 22:00:32
2020-03-27T22:01:55Z,44.98446833342314,-93.18849826231599,266.43,290.79999999999995,3.275,84,0,115,2020-03-27 22:00:32
2020-03-27T22:01:56Z,44.984437907114625,-93.18850052542984,269.81,290.79999999999995,3.275,84,0,116,2020-03-27 22:00:32
2020-03-27T22:01:57Z,44.9844082351774,-93.18850220181048,273.09,290.79999999999995,3.275,84,0,116,2020-03-27 22:00:32
2020-03-27T22:01:58Z,44.98437755741179,-93.18850421346724,276.46,290.79999999999995,3.284,84,0,116,2020-03-27 22:00:32
2020-03-27T22:01:59Z,44.98434763401747,-93.18850538693368,279.72,290.79999999999995,3.284,84,0,116,2020-03-27 22:00:32
2020-03-27T22:02:00Z,44.98431854881346,-93.18850153125823,282.97,290.4,3.284,84,0,116,2020-03-27 22:00:32
2020-03-27T22:02:01Z,44.98428669758141,-93.18850555457175,286.43,290.20000000000005,3.284,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:02Z,44.98425719328225,-93.18851117044687,289.65,290.4,3.284,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:03Z,44.984226766973734,-93.18852231837809,292.97,290.6,3.284,84,0,115,2020-03-27 22:00:32
2020-03-27T22:02:04Z,44.98419717885554,-93.18853111937642,296.19,290.6,3.284,84,0,115,2020-03-27 22:00:32
2020-03-27T22:02:05Z,44.98416599817574,-93.18853723816574,299.58,290.6,3.284,84,0,115,2020-03-27 22:00:32
2020-03-27T22:02:06Z,44.984134985134006,-93.18854209966958,302.91,290.79999999999995,3.284,85,0,115,2020-03-27 22:00:32
2020-03-27T22:02:07Z,44.98410330154002,-93.18854914046824,306.35,290.79999999999995,3.284,85,0,115,2020-03-27 22:00:32
2020-03-27T22:02:08Z,44.98407178558409,-93.18855886347592,309.83,290.79999999999995,3.284,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:09Z,44.98404026962817,-93.18857051432133,313.33,290.79999999999995,3.284,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:10Z,44.98400623910129,-93.18858124315739,317.11,291,3.284,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:11Z,44.983974136412144,-93.18858937360346,320.66,291.20000000000005,3.294,84,0,117,2020-03-27 22:00:32
