timestamp,distance,speed,cadence,heart_rate,time_elapsed,elevation,latitude,longitude,key
2021-07-15T12:19:38Z,724.04,3.219,86,130,231,266.13,44.98800021596253,-93.2076795771718,7129589984
2021-07-15T12:19:39Z,727.6,3.219,86,129,232,266.24,44.98799342662096,-93.20763523690403,7129589984
2021-07-15T12:19:40Z,730.92,3.219,86,129,233,266.31,44.98799091205001,-93.20759324356914,7129589984
2021-07-15T12:19:41Z,734.08,3.228,85,129,234,266.39,44.987990660592914,-93.20755309425294,7129589984
2021-07-15T12:19:42Z,737.25,3.228,85,129,235,266.45,44.98799149878323,-93.20751294493675,7129589984
2021-07-15T12:19:43Z,740.54,3.228,85,129,236,266.49,44.98799208551645,-93.20747120305896,7129589984
2021-07-15T12:19:44Z,743.81,3.238,85,129,237,266.53,44.98799040913582,-93.20742988027632,7129589984
2021-07-15T12:19:45Z,747.16,3.238,85,129,238,266.57,44.98798856511712,-93.20738738402724,7129589984
2021-07-15T12:19:46Z,750.45,3.238,85,131,239,266.62,44.98798999004066,-93.20734555833042,7129589984
2021-07-15T12:19:47Z,753.68,3.238,85,131,240,266.74,44.98799107968807,-93.20730465464294,7129589984
2021-07-15T12:19:48Z,757.11,3.238,86,132,241,266.79,44.98799242079258,-93.20726115256548,7129589984
2021-07-15T12:19:49Z,760.51,3.238,86,132,242,266.84,44.987994600087404,-93.20721823722124,7129589984
2021-07-15T12:19:50Z,763.86,3.238,86,133,243,266.9,44.987997030839324,-93.2071758247912,7129589984
2021-07-15T12:19:51Z,767.17,3.238,86,132,244,266.95,44.98799627646804,-93.2071338314563,7129589984
2021-07-15T12:19:52Z,770.47,3.238,86,133,245,267.01,44.9879948515445,-93.20709192194045,7129589984
2021-07-15T12:19:53Z,773.88,3.238,86,133,246,267.09,44.98799351043999,-93.20704875513911,7129589984
2021-07-15T12:19:54Z,777.64,3.247,86,133,247,267.21,44.9879930075258,-93.207000894472,7129589984
2021-07-15T12:19:55Z,781.17,3.247,86,134,248,267.26,44.98799619264901,-93.2069562189281,7129589984
2021-07-15T12:19:56Z,784.72,3.256,85,133,249,267.29,44.98799594119191,-93.20691112428904,7129589984
2021-07-15T12:19:57Z,788.23,3.256,85,133,250,267.31,44.98799937777221,-93.20686686784029,7129589984
