distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
452.49,2.687,92,140,285.8,45.014863880351186,-93.1467692926526,6664171315,285.5620737327189,-0.2379262672811251,2021-04-24T13:22:06Z
455.15,2.706,91,141,285.8,45.01488793641329,-93.14676753245294,6664171315,285.5085253456221,-0.2914746543779074,2021-04-24T13:22:07Z
458.01,2.865,90,142,285.76,45.01491383649409,-93.14676468260586,6664171315,285.45073732718896,-0.30926267281103037,2021-04-24T13:22:08Z
460.92,2.911,86,143,285.73,45.01493990421295,-93.1467671971768,6664171315,285.3900460829493,-0.3399539170507069,2021-04-24T13:22:09Z
463.64,2.939,86,144,285.73,45.01496412791312,-93.14677281305194,6664171315,285.32714285714286,-0.4028571428571581,2021-04-24T13:22:10Z
466.56,3.098,85,145,285.67,45.01499019563198,-93.1467771716416,6664171315,285.263133640553,-0.4068663594470081,2021-04-24T13:22:11Z
469.6,3.182,86,146,285.61,45.01501752063632,-93.14677977003156,6664171315,285.1958064516129,-0.41419354838711797,2021-04-24T13:22:12Z
473.1,3.228,88,147,285.56,45.01504895277321,-93.1467814464122,6664171315,285.1236866359447,-0.43631336405530874,2021-04-24T13:22:13Z
476.68,3.406,90,148,285.56,45.01508113928139,-93.1467824522406,6664171315,285.04603686635943,-0.5139631336405728,2021-04-24T13:22:14Z
480.38,3.331,93,149,285.52,45.015114499256015,-93.1467819493264,6664171315,284.962534562212,-0.5574654377879824,2021-04-24T13:22:15Z
484.17,3.527,93,150,285.48,45.01514861360192,-93.1467837933451,6664171315,284.8724423963134,-0.6075576036866437,2021-04-24T13:22:16Z
487.75,3.387,92,151,285.39,45.0151808001101,-93.14678387716413,6664171315,284.77557603686637,-0.6144239631336177,2021-04-24T13:22:17Z
491.24,3.322,94,152,285.22,45.015212232246995,-93.1467837933451,6664171315,284.6705069124424,-0.5494930875576074,2021-04-24T13:22:18Z
494.89,3.462,96,153,284.91,45.01524508930743,-93.1467832904309,6664171315,284.558801843318,-0.3511981566820168,2021-04-24T13:22:19Z
498.64,3.574,98,154,284.53,45.01527886837721,-93.1467816978693,6664171315,284.4410138248848,-0.08898617511516704,2021-04-24T13:22:20Z
502.54,3.751,100,155,284.14,45.015313904732466,-93.1467769201845,6664171315,284.3176497695853,0.17764976958528678,2021-04-24T13:22:21Z
506.46,3.882,101,156,283.91,45.01534919254482,-93.14677298069,6664171315,284.1888479262673,0.27884792626724675,2021-04-24T13:22:22Z
510.39,3.732,100,157,283.79,45.015384647995234,-93.1467708852142,6664171315,284.0548387096774,0.26483870967740586,2021-04-24T13:22:23Z
514.46,3.77,96,158,283.76,45.01542127691209,-93.14676845446228,6664171315,283.91608294930876,0.1560829493087681,2021-04-24T13:22:24Z
518.35,3.723,93,159,283.72,45.015456480905414,-93.14676652662456,6664171315,283.77281105990784,0.05281105990781043,2021-04-24T13:22:25Z
522.33,3.723,93,160,283.66,45.01549227163195,-93.14676753245294,6664171315,283.6247926267281,-0.035207373271930464,2021-04-24T13:22:26Z
526.31,3.798,93,161,283.55,45.0155280623585,-93.14676971174777,6664171315,283.4715668202765,-0.07843317972350405,2021-04-24T13:22:27Z
530.19,3.742,93,162,283.55,45.01556293107569,-93.14676971174777,6664171315,283.31281105990786,-0.2371889400921532,2021-04-24T13:22:28Z
534.32,3.844,93,163,283.42,45.015600230544806,-93.14676702953876,6664171315,283.149400921659,-0.2705990783410357,2021-04-24T13:22:29Z
538.66,4.124,95,164,283.17,45.01563920639455,-93.146765017882,6664171315,282.9820276497696,-0.18797235023043868,2021-04-24T13:22:30Z
542.84,4.189,97,165,283.04,45.01567684113979,-93.14676686190067,6664171315,282.8115668202765,-0.22843317972353816,2021-04-24T13:22:31Z
547.17,4.329,98,166,282.89,45.01571581698954,-93.14676887355743,6664171315,282.6395391705069,-0.250460829493079,2021-04-24T13:22:32Z
551.35,4.171,97,167,282.69,45.01575345173478,-93.14676702953876,6664171315,282.4677419354839,-0.22225806451609742,2021-04-24T13:22:33Z
555.76,4.348,95,168,282.45,45.01579301431775,-93.14676434732974,6664171315,282.2982488479263,-0.15175115207370027,2021-04-24T13:22:34Z
