timestamp,distance,altitude,heart_rate,cadence,fractional_cadence,key
2019-06-18T00:04:54Z,0,NA,110,0,0,2019-06-18 00:02:08
2019-06-18T00:04:55Z,0,NA,110,0,0,2019-06-18 00:02:08
2019-06-18T00:04:56Z,0,NA,113,0,0,2019-06-18 00:02:08
2019-06-18T00:04:57Z,0,NA,113,0,0,2019-06-18 00:02:08
2019-06-18T00:04:58Z,0,NA,114,0,0,2019-06-18 00:02:08
2019-06-18T00:04:59Z,0,NA,115,0,0,2019-06-18 00:02:08
2019-06-18T00:05:00Z,0,NA,115,0,0,2019-06-18 00:02:08
2019-06-18T00:05:01Z,0,NA,118,0,0,2019-06-18 00:02:08
2019-06-18T00:05:02Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:03Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:04Z,0,NA,119,0,0,2019-06-18 00:02:08
2019-06-18T00:05:05Z,0,NA,121,0,0,2019-06-18 00:02:08
2019-06-18T00:05:06Z,0,NA,121,0,0,2019-06-18 00:02:08
2019-06-18T00:05:07Z,0,NA,120,0,0,2019-06-18 00:02:08
2019-06-18T00:05:08Z,0,NA,120,0,0,2019-06-18 00:02:08
2019-06-18T00:05:09Z,0,NA,120,0,0,2019-06-18 00:02:08
2019-06-18T00:05:10Z,0,NA,119,0,0,2019-06-18 00:02:08
2019-06-18T00:05:11Z,0,NA,116,0,0,2019-06-18 00:02:08
2019-06-18T00:05:12Z,0,NA,110,58,0.5,2019-06-18 00:02:08
2019-06-18T00:05:13Z,0,NA,104,58,0.5,2019-06-18 00:02:08
2019-06-18T00:05:14Z,0,NA,99,58,0.5,2019-06-18 00:02:08
2019-06-18T00:05:15Z,0,NA,99,0,0,2019-06-18 00:02:08
2019-06-18T00:05:16Z,0,NA,100,0,0,2019-06-18 00:02:08
2019-06-18T00:05:17Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:05:18Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:05:19Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:05:20Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:05:21Z,0,NA,109,0,0,2019-06-18 00:02:08
2019-06-18T00:05:22Z,0,NA,114,0,0,2019-06-18 00:02:08
2019-06-18T00:05:23Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:24Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:25Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:26Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:27Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:28Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:29Z,0,NA,117,0,0,2019-06-18 00:02:08
2019-06-18T00:05:30Z,0,NA,116,0,0,2019-06-18 00:02:08
2019-06-18T00:05:31Z,0,NA,116,0,0,2019-06-18 00:02:08
2019-06-18T00:05:32Z,0,NA,116,0,0,2019-06-18 00:02:08
2019-06-18T00:05:33Z,0,NA,115,0,0,2019-06-18 00:02:08
2019-06-18T00:05:34Z,0,NA,115,0,0,2019-06-18 00:02:08
2019-06-18T00:05:35Z,0,NA,114,0,0,2019-06-18 00:02:08
2019-06-18T00:05:36Z,0,NA,114,0,0,2019-06-18 00:02:08
2019-06-18T00:05:37Z,0,NA,113,0,0,2019-06-18 00:02:08
2019-06-18T00:05:38Z,0,NA,113,0,0,2019-06-18 00:02:08
2019-06-18T00:05:39Z,0,NA,111,0,0,2019-06-18 00:02:08
2019-06-18T00:05:40Z,0,NA,105,0,0,2019-06-18 00:02:08
2019-06-18T00:05:41Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:05:42Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:05:43Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:05:44Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:05:45Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:05:46Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:05:47Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:05:48Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:05:49Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:05:50Z,0,NA,105,0,0,2019-06-18 00:02:08
2019-06-18T00:05:51Z,0,NA,106,0,0,2019-06-18 00:02:08
2019-06-18T00:05:52Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:05:53Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:05:54Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:05:55Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:05:56Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:05:57Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:05:58Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:05:59Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:00Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:01Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:02Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:03Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:04Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:05Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:06Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:07Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:08Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:09Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:10Z,0,NA,104,0,0,2019-06-18 00:02:08
2019-06-18T00:06:11Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:12Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:13Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:14Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:15Z,0,NA,103,0,0,2019-06-18 00:02:08
2019-06-18T00:06:16Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:06:17Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:06:18Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:06:19Z,0,NA,102,0,0,2019-06-18 00:02:08
2019-06-18T00:06:20Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:06:21Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:06:22Z,0,NA,101,0,0,2019-06-18 00:02:08
2019-06-18T00:06:23Z,0,NA,100,0,0,2019-06-18 00:02:08
2019-06-18T00:06:24Z,0,NA,100,0,0,2019-06-18 00:02:08
2019-06-18T00:06:25Z,0,NA,100,0,0,2019-06-18 00:02:08
2019-06-18T00:06:26Z,0,NA,99,0,0,2019-06-18 00:02:08
2019-06-18T00:06:27Z,0,NA,99,0,0,2019-06-18 00:02:08
2019-06-18T00:06:28Z,0,NA,99,0,0,2019-06-18 00:02:08
2019-06-18T00:06:29Z,0,NA,99,0,0,2019-06-18 00:02:08
2019-06-18T00:06:30Z,0,NA,98,58,0.5,2019-06-18 00:02:08
2019-06-18T00:06:31Z,0,NA,98,58,0.5,2019-06-18 00:02:08
2019-06-18T00:06:32Z,0,NA,98,58,0.5,2019-06-18 00:02:08
2019-06-18T00:06:33Z,0,NA,97,58,0.5,2019-06-18 00:02:08
2019-06-18T00:06:34Z,0,NA,97,0,0,2019-06-18 00:02:08
2019-06-18T00:06:35Z,0,NA,97,0,0,2019-06-18 00:02:08
2019-06-18T00:06:36Z,0,NA,97,0,0,2019-06-18 00:02:08
2019-06-18T00:06:37Z,0,NA,97,0,0,2019-06-18 00:02:08
2019-06-18T00:06:38Z,0,NA,96,0,0,2019-06-18 00:02:08
2019-06-18T00:06:39Z,0,NA,96,0,0,2019-06-18 00:02:08
2019-06-18T00:06:40Z,0,NA,96,0,0,2019-06-18 00:02:08
2019-06-18T00:06:41Z,0,NA,95,0,0,2019-06-18 00:02:08
2019-06-18T00:06:42Z,0,NA,95,0,0,2019-06-18 00:02:08
2019-06-18T00:06:43Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:44Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:45Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:46Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:47Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:48Z,0,NA,93,0,0,2019-06-18 00:02:08
2019-06-18T00:06:49Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:50Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:51Z,0,NA,94,0,0,2019-06-18 00:02:08
2019-06-18T00:06:52Z,0,NA,92,0,0,2019-06-18 00:02:08
2019-06-18T00:06:53Z,0,NA,92,0,0,2019-06-18 00:02:08
