timestamp,distance,speed,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-12-09T22:56:27Z,901.01,3.807,136,83,0,233,7938511640
2021-12-09T22:56:28Z,904.77,3.76,136,83,0,234,7938511640
2021-12-09T22:56:29Z,908.5,3.732,136,83,0,235,7938511640
2021-12-09T22:56:30Z,912.21,3.714,135,84,0,236,7938511640
2021-12-09T22:56:31Z,915.97,3.751,135,84,0,237,7938511640
2021-12-09T22:56:32Z,919.71,3.742,135,83,0,238,7938511640
2021-12-09T22:56:33Z,923.43,3.723,135,83,0,239,7938511640
2021-12-09T22:56:34Z,927.13,3.704,135,83,0,240,7938511640
2021-12-09T22:56:35Z,930.83,3.695,135,83,0,241,7938511640
2021-12-09T22:56:36Z,934.54,3.714,135,83,0,242,7938511640
2021-12-09T22:56:37Z,938.23,3.686,136,83,0,243,7938511640
2021-12-09T22:56:38Z,941.9,3.667,136,83,0,244,7938511640
2021-12-09T22:56:39Z,945.52,3.62,137,82,0,245,7938511640
2021-12-09T22:56:40Z,949.08,3.564,137,82,0,246,7938511640
2021-12-09T22:56:41Z,952.61,3.527,138,82,0,247,7938511640
2021-12-09T22:56:42Z,956.13,3.527,137,82,0,248,7938511640
2021-12-09T22:56:43Z,959.66,3.527,137,82,0,249,7938511640
2021-12-09T22:56:44Z,963.18,3.518,137,82,0,250,7938511640
2021-12-09T22:56:45Z,966.67,3.49,137,82,0,251,7938511640
2021-12-09T22:56:46Z,970.16,3.49,138,82,0,252,7938511640
2021-12-09T22:56:47Z,973.64,3.48,136,82,0,253,7938511640
2021-12-09T22:56:48Z,977.13,3.49,136,82,0,254,7938511640
2021-12-09T22:56:49Z,980.7,3.574,135,82,0,255,7938511640
2021-12-09T22:56:50Z,984.26,3.555,135,82,0,256,7938511640
2021-12-09T22:56:51Z,987.8,3.546,135,82,0,257,7938511640
2021-12-09T22:56:52Z,991.39,3.592,134,82,0,258,7938511640
2021-12-09T22:56:53Z,994.99,3.592,134,82,0,259,7938511640
2021-12-09T22:56:54Z,998.63,3.639,135,82,0,260,7938511640
2021-12-09T22:56:55Z,1002.32,3.695,135,82,0,261,7938511640
2021-12-09T22:56:56Z,1006.05,3.732,136,82,0,262,7938511640
2021-12-09T22:56:57Z,1009.82,3.77,136,82,0,263,7938511640
2021-12-09T22:56:58Z,1013.61,3.788,136,82,0,264,7938511640
2021-12-09T22:56:59Z,1017.41,3.798,136,82,0,265,7938511640
2021-12-09T22:57:00Z,1021.22,3.807,136,82,0,266,7938511640
2021-12-09T22:57:01Z,1024.99,3.779,136,82,0,267,7938511640
2021-12-09T22:57:02Z,1028.78,3.788,137,82,0,268,7938511640
2021-12-09T22:57:03Z,1032.54,3.76,137,82,0,269,7938511640
2021-12-09T22:57:04Z,1036.31,3.77,137,82,0,270,7938511640
2021-12-09T22:57:05Z,1040.09,3.779,138,82,0,271,7938511640
2021-12-09T22:57:07Z,1043.88,3.788,138,82,0,273,7938511640
2021-12-09T22:57:08Z,1047.67,3.788,138,82,0,274,7938511640
2021-12-09T22:57:09Z,1051.44,3.77,138,82,0,275,7938511640
2021-12-09T22:57:10Z,1055.18,3.742,137,82,0,276,7938511640
2021-12-09T22:57:11Z,1058.91,3.723,137,82,0,277,7938511640
2021-12-09T22:57:12Z,1062.63,3.732,137,82,0,278,7938511640
2021-12-09T22:57:13Z,1066.39,3.751,137,82,0,279,7938511640
2021-12-09T22:57:14Z,1070.12,3.732,137,82,0,280,7938511640
2021-12-09T22:57:15Z,1073.81,3.695,136,82,0,281,7938511640
2021-12-09T22:57:16Z,1077.47,3.658,136,81,0,282,7938511640
2021-12-09T22:57:17Z,1081.16,3.686,136,81,0,283,7938511640
2021-12-09T22:57:18Z,1084.86,3.704,136,82,0,284,7938511640
2021-12-09T22:57:19Z,1088.58,3.723,136,82,0,285,7938511640
2021-12-09T22:57:20Z,1092.29,3.704,136,81,0,286,7938511640
2021-12-09T22:57:21Z,1095.96,3.676,135,81,0,287,7938511640
2021-12-09T22:57:22Z,1099.61,3.648,135,81,0,288,7938511640
2021-12-09T22:57:23Z,1103.26,3.639,135,82,0,289,7938511640
2021-12-09T22:57:24Z,1106.88,3.63,135,82,0,290,7938511640
2021-12-09T22:57:25Z,1110.5,3.62,135,82,0,291,7938511640
2021-12-09T22:57:26Z,1114.11,3.611,135,82,0,292,7938511640
2021-12-09T22:57:27Z,1117.74,3.63,137,82,0,293,7938511640
2021-12-09T22:57:28Z,1121.39,3.648,137,82,0,294,7938511640
2021-12-09T22:57:29Z,1125.05,3.658,138,82,0,295,7938511640
2021-12-09T22:57:30Z,1128.71,3.658,139,82,0,296,7938511640
2021-12-09T22:57:31Z,1132.34,3.639,138,82,0,297,7938511640
2021-12-09T22:57:32Z,1135.95,3.602,137,82,0,298,7938511640
2021-12-09T22:57:33Z,1139.53,3.583,137,82,0,299,7938511640
2021-12-09T22:57:34Z,1143.09,3.564,136,82,0,300,7938511640
2021-12-09T22:57:35Z,1146.69,3.602,136,83,0,301,7938511640
2021-12-09T22:57:36Z,1150.3,3.602,136,83,0,302,7938511640
2021-12-09T22:57:37Z,1153.89,3.592,136,83,0,303,7938511640
2021-12-09T22:57:38Z,1157.47,3.583,136,82,0,304,7938511640
2021-12-09T22:57:39Z,1161.03,3.555,135,82,0,305,7938511640
2021-12-09T22:57:40Z,1164.64,3.611,135,82,0,306,7938511640
2021-12-09T22:57:41Z,1168.25,3.611,135,82,0,307,7938511640
2021-12-09T22:57:42Z,1171.81,3.564,135,82,0,308,7938511640
2021-12-09T22:57:43Z,1175.18,3.368,136,82,0,309,7938511640
2021-12-09T22:57:44Z,1178.47,3.284,136,82,0,310,7938511640
2021-12-09T22:57:45Z,1181.73,3.266,136,83,0,311,7938511640
2021-12-09T22:57:46Z,1185.07,3.34,136,83,0,312,7938511640
2021-12-09T22:57:47Z,1188.47,3.396,136,83,0,313,7938511640
2021-12-09T22:57:48Z,1191.91,3.443,136,83,0,314,7938511640
2021-12-09T22:57:49Z,1195.38,3.471,135,83,0,315,7938511640
2021-12-09T22:57:50Z,1198.92,3.536,135,83,0,316,7938511640
2021-12-09T22:57:51Z,1202.46,3.546,135,82,0,317,7938511640
2021-12-09T22:57:52Z,1206.09,3.63,135,82,0,318,7938511640
2021-12-09T22:57:53Z,1209.63,3.536,135,82,0,319,7938511640
2021-12-09T22:57:54Z,1213.08,3.452,135,82,0,320,7938511640
2021-12-09T22:57:55Z,1216.49,3.406,135,82,0,321,7938511640
2021-12-09T22:57:56Z,1219.92,3.424,136,82,0,322,7938511640
2021-12-09T22:57:57Z,1223.36,3.443,136,83,0,323,7938511640
2021-12-09T22:57:58Z,1226.83,3.471,136,83,0,324,7938511640
2021-12-09T22:57:59Z,1230.32,3.49,137,83,0,325,7938511640
2021-12-09T22:58:00Z,1233.82,3.508,138,83,0,326,7938511640
2021-12-09T22:58:01Z,1237.33,3.508,138,83,0,327,7938511640
2021-12-09T22:58:02Z,1240.84,3.508,137,83,0,328,7938511640
2021-12-09T22:58:03Z,1244.36,3.518,136,83,0,329,7938511640
2021-12-09T22:58:04Z,1247.9,3.546,135,83,0,330,7938511640
2021-12-09T22:58:05Z,1251.55,3.648,135,83,0,331,7938511640
2021-12-09T22:58:06Z,1255.2,3.648,135,83,0,332,7938511640
2021-12-09T22:58:07Z,1258.82,3.62,136,83,0,333,7938511640
2021-12-09T22:58:08Z,1262.41,3.592,136,82,0,334,7938511640
2021-12-09T22:58:09Z,1265.99,3.574,136,82,0,335,7938511640
