time,rr,time_sec,key,time_created
0.413,0.413,270.991,8828514774,2022_05_15_08_26_58
0.419,0.419,271.40999999999997,8828514774,2022_05_15_08_26_58
0.857,0.857,272.267,8828514774,2022_05_15_08_26_58
1.938,1.938,274.205,8828514774,2022_05_15_08_26_58
0.602,0.602,274.807,8828514774,2022_05_15_08_26_58
0.418,0.418,275.225,8828514774,2022_05_15_08_26_58
0.836,0.836,276.061,8828514774,2022_05_15_08_26_58
0.434,0.434,276.495,8828514774,2022_05_15_08_26_58
0.829,0.829,277.324,8828514774,2022_05_15_08_26_58
0.852,0.852,278.176,8828514774,2022_05_15_08_26_58
0.412,0.412,278.588,8828514774,2022_05_15_08_26_58
1.258,1.258,279.846,8828514774,2022_05_15_08_26_58
0.424,0.424,280.27,8828514774,2022_05_15_08_26_58
0.826,0.826,281.096,8828514774,2022_05_15_08_26_58
0.415,0.415,281.511,8828514774,2022_05_15_08_26_58
0.425,0.425,281.936,8828514774,2022_05_15_08_26_58
0.981,0.981,282.917,8828514774,2022_05_15_08_26_58
0.263,0.263,283.18,8828514774,2022_05_15_08_26_58
0.406,0.406,283.586,8828514774,2022_05_15_08_26_58
0.429,0.429,284.015,8828514774,2022_05_15_08_26_58
0.42,0.42,284.435,8828514774,2022_05_15_08_26_58
0.414,0.414,284.849,8828514774,2022_05_15_08_26_58
0.821,0.821,285.67,8828514774,2022_05_15_08_26_58
0.419,0.419,286.089,8828514774,2022_05_15_08_26_58
0.416,0.416,286.505,8828514774,2022_05_15_08_26_58
1.637,1.637,288.142,8828514774,2022_05_15_08_26_58
0.419,0.419,288.561,8828514774,2022_05_15_08_26_58
0.423,0.423,288.984,8828514774,2022_05_15_08_26_58
0.41,0.41,289.394,8828514774,2022_05_15_08_26_58
0.396,0.396,289.79,8828514774,2022_05_15_08_26_58
0.424,0.424,290.214,8828514774,2022_05_15_08_26_58
0.404,0.404,290.618,8828514774,2022_05_15_08_26_58
0.428,0.428,291.046,8828514774,2022_05_15_08_26_58
0.406,0.406,291.452,8828514774,2022_05_15_08_26_58
1.237,1.237,292.689,8828514774,2022_05_15_08_26_58
1.654,1.654,294.343,8828514774,2022_05_15_08_26_58
0.406,0.406,294.749,8828514774,2022_05_15_08_26_58
0.41,0.41,295.159,8828514774,2022_05_15_08_26_58
0.703,0.703,295.862,8828514774,2022_05_15_08_26_58
0.945,0.945,296.807,8828514774,2022_05_15_08_26_58
0.806,0.806,297.613,8828514774,2022_05_15_08_26_58
0.315,0.315,297.928,8828514774,2022_05_15_08_26_58
0.524,0.524,298.452,8828514774,2022_05_15_08_26_58
0.408,0.408,298.86,8828514774,2022_05_15_08_26_58
0.416,0.416,299.276,8828514774,2022_05_15_08_26_58
0.393,0.393,299.669,8828514774,2022_05_15_08_26_58
