"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_03 08_14_44",2021-04-03 13:21:32,273.6,84,306.03,0.5,143,45.0145009439439,-93.148144511506,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:33,273.8,84,309.5,0.5,144,45.0145002733916,-93.1481002550572,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:34,274,83,312.88,0.5,144,45.0144984293729,-93.148057339713,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:35,274,83,316.6,0.5,143,45.0144953280687,-93.1480101495981,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:36,274.2,84,320.16,0,143,45.0144919753075,-93.1479652225971,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:37,274.4,84,323.64,0,143,45.0144920591265,-93.1479209661484,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:38,274.6,84,327.32,0,143,45.0144951604307,-93.1478745304048,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:39,274.8,83,331.14,0.5,142,45.0144955795258,-93.1478259153664,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:40,275,83,335.02,0,142,45.0144928134978,-93.1477765459567,3.387
"2021_04_03 08_14_44",2021-04-03 13:21:41,275,83,338.73,0,142,45.0144941546023,-93.1477294396609,3.396
"2021_04_03 08_14_44",2021-04-03 13:21:42,275,83,342.65,0.5,142,45.0144931487739,-93.1476796511561,3.396
"2021_04_03 08_14_44",2021-04-03 13:21:43,275.4,84,346.62,0,142,45.0144897121936,-93.147629275918,3.406
"2021_04_03 08_14_44",2021-04-03 13:21:44,275.4,84,350.45,0,142,45.0144892092794,-93.1475806608796,3.406
"2021_04_03 08_14_44",2021-04-03 13:21:45,275.4,84,354.16,0,143,45.014490634203,-93.1475335545838,3.415
"2021_04_03 08_14_44",2021-04-03 13:21:46,275.8,84,357.75,0,144,45.0144915562123,-93.1474879570305,3.424
"2021_04_03 08_14_44",2021-04-03 13:21:47,276,84,361.22,0,144,45.0144923944026,-93.1474439520389,3.424
"2021_04_03 08_14_44",2021-04-03 13:21:48,276.4,83,364.88,0,144,45.0144902989268,-93.1473975162953,3.424
"2021_04_03 08_14_44",2021-04-03 13:21:49,276.6,83,368.21,0,145,45.0144914723933,-93.1473552715033,3.434
"2021_04_03 08_14_44",2021-04-03 13:21:50,276.6,83,372.08,0,145,45.0144908856601,-93.1473059020936,3.434
"2021_04_03 08_14_44",2021-04-03 13:21:51,276.8,84,375.53,0,146,45.01449608244,-93.1472628191113,3.434
"2021_04_03 08_14_44",2021-04-03 13:21:52,276.8,84,378.95,0,146,45.0145003572106,-93.1472198199481,3.443
"2021_04_03 08_14_44",2021-04-03 13:21:53,277,84,382.43,0,145,45.014501363039,-93.1471753958613,3.443
"2021_04_03 08_14_44",2021-04-03 13:21:54,276.8,84,385.95,0,145,45.0145027879626,-93.1471308041364,3.443
"2021_04_03 08_14_44",2021-04-03 13:21:55,276.8,83,389.57,0,145,45.0145030394197,-93.147084787488,3.443
"2021_04_03 08_14_44",2021-04-03 13:21:56,276.8,83,393.19,0,146,45.0145023688674,-93.1470386870205,3.443
"2021_04_03 08_14_44",2021-04-03 13:21:57,276.8,83,396.89,0,146,45.0145010277629,-93.1469917483628,3.443
"2021_04_03 08_14_44",2021-04-03 13:21:58,277,83,400.92,0,146,45.01449608244,-93.1469411216676,3.452
"2021_04_03 08_14_44",2021-04-03 13:21:59,277,83,404.46,0,146,45.0144993513823,-93.1468964461237,3.452
"2021_04_03 08_14_44",2021-04-03 13:22:00,277,83,407.94,0,145,45.0145016144961,-93.146852357313,3.452
"2021_04_03 08_14_44",2021-04-03 13:22:01,277.2,82,411.36,0,144,45.014506559819,-93.1468094419688,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:02,277.4,82,414.82,0,144,45.0145179592073,-93.1467682868242,3.452
"2021_04_03 08_14_44",2021-04-03 13:22:03,277.4,82,418.25,0,143,45.0145390816033,-93.1467365194112,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:04,277.4,82,421.65,0,143,45.0145664904267,-93.1467173248529,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:05,277.4,83,425.36,0,143,45.0145995151252,-93.1467104516923,3.452
"2021_04_03 08_14_44",2021-04-03 13:22:06,277.4,83,429.18,0,144,45.0146338809282,-93.1467097811401,3.452
"2021_04_03 08_14_44",2021-04-03 13:22:07,277.4,83,432.74,0,145,45.0146658997983,-93.1467109546065,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:08,277.2,84,436.89,0.5,145,45.0147026963532,-93.1467204261571,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:09,277.2,85,440.5,0.5,145,45.0147349666804,-93.1467258743942,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:10,277.2,85,444.84,0.5,145,45.014773523435,-93.1467349268496,3.462
"2021_04_03 08_14_44",2021-04-03 13:22:11,277.2,84,448.97,0.5,146,45.014810403809,-93.146741297096,3.471
"2021_04_03 08_14_44",2021-04-03 13:22:12,277.2,84,453.18,0.5,146,45.0148480385542,-93.1467484217137,3.48
"2021_04_03 08_14_44",2021-04-03 13:22:13,277,84,456.98,0.5,146,45.0148827396333,-93.1467485893518,3.49
"2021_04_03 08_14_44",2021-04-03 13:22:14,276.6,84,460.51,0.5,146,45.0149150099605,-93.1467449013144,3.499
"2021_04_03 08_14_44",2021-04-03 13:22:15,276.6,84,463.87,0,146,45.014945268631,-93.1467474997044,3.508
"2021_04_03 08_14_44",2021-04-03 13:22:16,276.2,84,467.31,0,145,45.0149761978537,-93.146746577695,3.527
"2021_04_03 08_14_44",2021-04-03 13:22:17,276,83,470.57,0,145,45.0150056183338,-93.1467460747808,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:18,275.6,83,474.05,0,145,45.0150369666517,-93.1467480026186,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:19,275.2,82,477.41,0,144,45.0150672253221,-93.1467457395047,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:20,274.6,82,480.82,0,145,45.0150979030877,-93.1467443984002,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:21,274.4,82,484.37,0,145,45.0151299219579,-93.1467433925718,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:22,273.8,82,487.89,0,145,45.0151616055518,-93.1467453204095,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:23,273.4,83,491.19,0,144,45.0151913613081,-93.1467449851334,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:24,272.4,83,495.08,0,143,45.0152263138443,-93.1467461585999,3.527
