"timestamp","position_lat","position_long","distance","altitude","speed","cadence","fractional_cadence","heart_rate"
2021-03-31 12:42:47,44.9802717659622,-93.228423949331,457.6,253.4,3.462,86,0.5,150
2021-03-31 12:42:48,44.9802769627422,-93.2284650206566,460.89,253.2,3.462,86,0.5,151
2021-03-31 12:42:49,44.9802803155035,-93.2285048346967,464.05,253.2,3.462,86,0.5,151
2021-03-31 12:42:50,44.9802846740931,-93.2285474147648,467.44,253.2,3.462,86,0.5,151
2021-03-31 12:42:51,44.9802901223302,-93.2285888213664,470.76,253.2,3.462,86,0.5,151
2021-03-31 12:42:52,44.9802951514721,-93.2286324072629,474.23,253.2,3.452,86,0.5,152
2021-03-31 12:42:53,44.9802988395095,-93.2286751549691,477.63,252.8,3.452,86,0.5,151
2021-03-31 12:42:54,44.980302779004,-93.228719746694,481.17,252.8,3.452,86,0.5,151
2021-03-31 12:42:55,44.9803062155843,-93.2287624105811,484.56,252.8,3.452,87,0.5,151
2021-03-31 12:42:56,44.9803104065359,-93.2288052421063,487.96,252.8,3.452,87,0.5,152
2021-03-31 12:42:57,44.9803112447262,-93.2288527674973,491.71,252.4,3.452,88,0.5,152
2021-03-31 12:42:58,44.9803126696497,-93.2288983650506,495.31,252,3.452,88,0.5,151
2021-03-31 12:42:59,44.98031350784,-93.2289432082325,498.85,251.6,3.462,88,0.5,152
2021-03-31 12:43:00,44.9803142622113,-93.2289858721197,502.21,251.4,3.462,88,0.5,152
2021-03-31 12:43:01,44.9803166929632,-93.2290339842439,506.01,251.4,3.462,88,0.5,152
2021-03-31 12:43:02,44.9803170282394,-93.2290813419968,509.74,251.2,3.462,88,0.5,153
2021-03-31 12:43:03,44.9803176149726,-93.2291252631694,513.2,250.8,3.471,88,0.5,153
2021-03-31 12:43:04,44.9803190398961,-93.2291674241424,516.52,250.2,3.471,88,0.5,154
2021-03-31 12:43:05,44.9803195428103,-93.2292107585818,519.94,249.6,3.471,88,0.5,155
2021-03-31 12:43:06,44.9803192075342,-93.2292578648776,523.65,249.2,3.471,88,0.5,155
2021-03-31 12:43:07,44.9803201295435,-93.2293047197163,527.34,248.8,3.471,88,0.5,155
2021-03-31 12:43:08,44.9803207162768,-93.2293534185737,531.18,248.2,3.471,87,0.5,153
2021-03-31 12:43:09,44.9803208000958,-93.229438746348,537.9,247.4,3.48,87,0.5,154
2021-03-31 12:43:10,44.9803208000958,-93.229438746348,537.9,247.4,3.48,87,0.5,154
2021-03-31 12:43:11,44.9803230632097,-93.229483673349,541.44,247,3.48,87,0.5,154
2021-03-31 12:43:12,44.9803288467228,-93.2295290194452,545.06,246.6,3.48,86,0.5,153
