"ID","ant_device_number","ant_network","ant_transmission_type","battery_status","battery_voltage","cum_operating_time","device_index","device_type","hardware_version","manufacturer","product","serial_number","software_version","source_type","timestamp"
2018-01-02 14:37:08,0,"antplus",0,NA,255.99609375,31390,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2018-01-02 14:36:54
2018-01-02 14:37:08,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-02 14:36:54
2018-01-03 20:17:42,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-03 19:54:50
2018-01-03 20:17:42,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-03 19:54:50
2018-01-03 20:17:42,0,NA,0,NA,255.99609375,4294967295,NA,10,255,NA,"65535",0,2.21,"local",2018-01-03 19:54:50
2018-01-03 20:17:42,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-03 20:17:29
2018-01-03 20:17:42,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-03 20:17:29
2018-01-03 20:17:42,0,NA,0,NA,255.99609375,4294967295,NA,10,255,NA,"65535",0,2.21,"local",2018-01-03 20:17:29
2018-01-03 20:49:44,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-03 20:19:22
2018-01-03 20:49:44,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-03 20:19:22
2018-01-03 20:49:44,0,NA,0,NA,255.99609375,4294967295,NA,10,255,NA,"65535",0,2.21,"local",2018-01-03 20:19:22
2018-01-03 20:49:44,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-03 20:49:25
2018-01-03 20:49:44,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-03 20:49:25
2018-01-03 20:49:44,0,NA,0,NA,255.99609375,4294967295,NA,10,255,NA,"65535",0,2.21,"local",2018-01-03 20:49:25
2018-01-06 14:50:20,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-06 14:09:53
2018-01-06 14:50:20,0,"antplus",0,NA,255.99609375,36624,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2018-01-06 14:09:53
2018-01-06 14:50:20,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-06 14:09:53
2018-01-06 14:50:20,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-06 14:49:28
2018-01-06 14:50:20,0,"antplus",0,NA,255.99609375,39026,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2018-01-06 14:49:28
2018-01-06 14:50:20,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-06 14:49:28
2018-01-06 15:12:17,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-06 14:50:58
2018-01-06 15:12:17,0,"antplus",0,NA,255.99609375,39122,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2018-01-06 14:50:58
2018-01-06 15:12:17,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-06 14:50:58
2018-01-06 15:12:17,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-06 15:01:18
2018-01-06 15:12:17,0,"antplus",0,NA,255.99609375,39746,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2018-01-06 15:01:18
2018-01-06 15:12:17,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2018-01-06 15:01:18
2018-01-06 15:12:17,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2018-01-06 15:08:11
